iter	PairLogit	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.6930087267	0.2	0.7	0.2
1	0.6927815211	0.5	1	0.5
2	0.6925773375	0.5	1	0.5
3	0.6923744384	0.5	1	0.5
4	0.692247068	0.5	1	0.5
5	0.6921022744	0.5	1	0.5
6	0.6918773356	0.5	1	0.5
7	0.6916985738	0.5	1	0.5
8	0.6916402801	0.5	1	0.5
9	0.6915450314	0.5	1	0.5
10	0.6913585018	0.5	1	0.5
11	0.6911342205	0.5	1	0.5
12	0.6910135233	0.5	1	0.5
13	0.6907847369	0.5	1	0.5
14	0.6907265377	0.5	1	0.5
15	0.6905110411	0.5	1	0.5
16	0.6903434414	0.5	1	0.5
17	0.6901194364	0.5	1	0.5
18	0.6899490661	0.5	1	0.5
19	0.689784189	0.5	1	0.5
20	0.6896259741	0.5	1	0.5
21	0.6895468336	0.5	1	0.5
22	0.6893391319	0.5	1	0.5
23	0.6891623517	0.5	1	0.5
24	0.6889971379	0.5	1	0.5
25	0.6889835055	0.5	1	0.5
26	0.6888227561	0.5	1	0.5
27	0.6886744741	0.5	1	0.5
28	0.6885858725	0.5	1	0.5
29	0.6884077622	0.5	1	0.5
30	0.6882466612	0.5	1	0.5
31	0.6881442071	0.5	1	0.5
32	0.6880267002	0.5	1	0.5
33	0.6878563851	0.5	1	0.5
34	0.6876346428	0.5	1	0.5
35	0.6874703475	0.5	1	0.5
36	0.6872964596	0.5	1	0.5
37	0.6872366213	0.5	1	0.5
38	0.6870469538	0.5	1	0.5
39	0.6869379767	0.5	1	0.5
40	0.6868234565	0.5	1	0.5
41	0.6866091942	0.5	1	0.5
42	0.6863976236	0.5	1	0.5
43	0.6862379026	0.5	1	0.5
44	0.6860889562	0.5	1	0.5
45	0.6858809465	0.5	1	0.5
46	0.6856639878	0.5	1	0.5
47	0.6854867999	0.5	1	0.5
48	0.6852928303	0.5	1	0.5
49	0.6851273805	0.5	1	0.5
50	0.6849967063	0.5	1	0.5
51	0.6847912008	0.5	1	0.5
52	0.6846166335	0.5	1	0.5
53	0.6844933298	0.5	1	0.5
54	0.6843314972	0.5	1	0.5
55	0.6841549214	0.5	1	0.5
56	0.6840217834	0.5	1	0.5
57	0.6838717238	0.5	1	0.5
58	0.6837043282	0.5	1	0.5
59	0.6834998956	0.5	1	0.5
60	0.6833037504	0.5	1	0.5
61	0.6831684267	0.5	1	0.5
62	0.6830021216	0.5	1	0.5
63	0.6827734484	0.5	1	0.5
64	0.6825852647	0.5	1	0.5
65	0.6824706882	0.5	1	0.5
66	0.682340409	0.5	1	0.5
67	0.6821645349	0.5	1	0.5
68	0.6819778793	0.5	1	0.5
69	0.6817844609	0.5	1	0.5
70	0.6816087133	0.5	1	0.5
71	0.6815270634	0.5	1	0.5
72	0.6814184301	0.5	1	0.5
73	0.6812239424	0.5	1	0.5
74	0.6811124668	0.5	1	0.5
75	0.6809358579	0.5	1	0.5
76	0.6808855942	0.5	1	0.5
77	0.6806918419	0.5	1	0.5
78	0.6805490952	0.5	1	0.5
79	0.6804038325	0.5	1	0.5
80	0.680241598	0.5	1	0.5
81	0.6800773841	0.5	1	0.5
82	0.6799901592	0.5	1	0.5
83	0.6798696485	0.5	1	0.5
84	0.6797551326	0.5	1	0.5
85	0.6795538834	0.5	1	0.5
86	0.6794439858	0.5	1	0.5
87	0.6793735303	0.5	1	0.5
88	0.6792228639	0.5	1	0.5
89	0.6790669524	0.5	1	0.5
90	0.6788831545	0.5	1	0.5
91	0.678744611	0.5	1	0.5
92	0.6785223221	0.5	1	0.5
93	0.6783280475	0.5	1	0.5
