iter	Passed	Remaining
0	1	423
1	1	380
2	2	360
3	3	339
4	4	322
5	4	318
6	5	310
7	6	309
8	6	302
9	7	298
10	8	298
11	9	298
12	9	295
13	10	295
14	11	291
15	12	290
16	12	291
17	13	294
18	14	298
19	15	297
20	16	295
21	17	293
22	17	292
23	18	291
24	19	290
25	20	287
26	20	288
27	21	287
28	22	287
29	23	286
30	24	286
31	24	284
32	25	282
33	26	282
34	27	281
35	27	280
36	28	279
37	29	277
38	29	277
39	30	276
40	31	275
41	32	274
42	33	274
43	33	273
44	34	272
45	35	272
46	36	271
47	36	270
48	37	270
49	38	269
50	39	268
51	40	267
52	40	267
53	41	266
54	42	265
55	43	264
56	43	264
57	44	264
58	45	264
59	46	263
60	47	263
61	48	263
62	49	262
63	49	262
64	50	261
65	51	260
66	52	259
67	52	258
68	53	257
69	54	256
70	55	255
71	55	254
72	56	253
73	57	252
74	58	251
75	58	251
76	59	250
77	60	249
78	61	248
79	61	247
80	62	247
81	63	246
82	64	245
83	65	244
84	65	244
85	66	243
86	67	242
87	68	241
88	68	240
89	69	240
90	70	239
91	71	238
92	72	237
93	72	236
94	73	236
95	74	235
96	75	235
97	76	234
98	76	234
99	77	233
100	78	232
101	79	230
102	80	230
103	80	229
104	81	228
105	82	227
106	102	281
107	104	282
108	105	281
109	106	280
110	107	280
111	108	278
112	109	277
113	109	275
114	110	273
115	111	272
116	147	355
117	148	354
118	149	352
119	149	349
120	150	347
121	151	345
122	152	342
123	153	340
124	153	338
125	154	336
126	155	333
127	156	331
128	156	329
129	157	327
130	158	325
131	159	323
132	159	320
133	160	318
134	161	316
135	161	314
136	162	312
137	163	310
138	164	308
139	164	306
140	165	304
141	166	302
142	167	300
143	168	298
144	168	297
145	169	295
146	170	293
147	171	292
148	172	290
149	173	288
150	174	287
151	174	285
152	175	283
153	176	281
154	177	281
155	178	279
156	179	277
157	180	276
158	181	274
159	181	272
160	182	271
161	183	269
162	184	267
163	184	266
164	185	264
165	186	262
166	187	261
167	188	259
168	188	258
169	189	256
170	190	254
171	191	253
172	191	251
173	192	250
174	193	248
175	194	247
176	194	245
177	195	244
178	196	242
179	197	241
180	198	239
181	198	238
182	199	236
183	200	235
184	201	233
185	202	232
186	202	231
187	203	229
188	204	228
189	208	230
190	209	228
191	209	227
192	210	225
193	211	224
194	212	223
195	213	221
196	213	220
197	214	219
198	215	217
199	216	216
200	216	214
201	217	213
202	218	211
203	219	210
204	219	209
205	220	207
206	221	206
207	222	205
208	223	203
209	223	202
210	224	201
211	225	199
212	226	198
213	226	197
214	227	195
215	228	194
216	229	193
217	230	192
218	231	191
219	232	189
220	232	188
221	233	187
222	234	186
223	235	184
224	236	183
225	242	186
226	243	185
227	244	184
228	244	182
229	245	181
230	246	180
231	247	179
232	247	177
233	248	176
234	249	175
235	250	173
236	250	172
237	251	171
238	285	192
239	286	190
240	287	189
241	287	187
242	288	186
243	289	184
244	289	183
245	290	181
246	291	180
247	291	178
248	292	177
249	305	183
250	306	181
251	306	180
252	307	178
253	326	187
254	327	186
255	328	184
256	329	183
257	330	181
258	330	180
259	331	178
260	332	176
261	332	175
262	333	173
263	334	172
264	335	170
265	336	169
266	337	167
267	337	166
268	338	164
269	339	163
270	340	161
271	341	160
272	341	159
273	342	157
274	343	156
275	344	154
276	345	153
277	346	151
278	346	150
279	347	149
280	348	147
281	349	146
282	350	144
283	350	143
284	351	141
285	352	140
286	353	139
287	354	137
288	355	136
289	355	135
290	356	133
291	357	132
292	358	130
293	359	129
294	360	128
295	361	126
296	361	125
297	362	124
298	363	122
299	364	121
300	365	120
301	365	118
302	366	117
303	367	116
304	368	114
305	368	113
306	369	111
307	370	110
308	371	109
309	372	108
310	372	106
311	373	105
312	374	104
313	375	102
314	376	101
315	376	100
316	377	98
317	378	97
318	379	96
319	380	95
320	380	93
321	381	92
322	382	91
323	383	89
324	384	88
325	384	87
326	385	86
327	386	84
328	387	83
329	388	82
330	389	81
331	390	79
332	390	78
333	391	77
334	392	76
335	393	74
336	394	73
337	394	72
338	395	71
339	396	69
340	397	68
341	398	67
342	399	66
343	399	65
344	400	63
345	401	62
346	402	61
347	403	60
348	403	59
349	404	57
350	405	56
351	406	55
352	407	54
353	407	52
354	408	51
355	409	50
356	410	49
357	410	48
358	411	47
359	412	45
360	413	44
361	414	43
362	414	42
363	415	41
364	416	39
365	417	38
366	418	37
367	419	36
368	419	35
369	420	34
370	421	32
371	422	31
372	423	30
373	424	29
374	424	28
375	425	27
376	426	26
377	427	24
378	427	23
379	428	22
380	429	21
381	430	20
382	431	19
383	431	17
384	432	16
385	433	15
386	434	14
387	435	13
388	435	12
389	436	11
390	437	10
391	438	8
392	439	7
393	439	6
394	440	5
395	441	4
396	442	3
397	443	2
398	443	1
399	444	0
